         664316 function calls (653253 primitive calls) in 2.797 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      576    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     2693    0.001    0.000    0.001    0.000 enum.py:531(__new__)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     1944    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     3192    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
      634    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      652    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
  489/228    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       12    0.001    0.000    0.002    0.000 artist.py:1339(<listcomp>)
       67    0.001    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     2751    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     1944    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
       72    0.001    0.000    0.009    0.000 __init__.py:1287(_preprocess_data)
  769/603    0.001    0.000    0.001    0.000 typing.py:669(__hash__)
     3893    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
   430/29    0.001    0.000    0.914    0.032 {built-in method builtins.__import__}
      158    0.001    0.000    0.002    0.000 colors.py:214(_to_rgba_no_colorcycle)
      663    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      879    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       16    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
     2209    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      316    0.001    0.000    0.019    0.000 overrides.py:166(decorator)
       11    0.001    0.000    0.052    0.005 artist.py:1452(pprint_setters)
      108    0.001    0.000    0.007    0.000 docstring.py:38(__call__)
     2062    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      616    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1647(_parseNoCache)
   141/95    0.001    0.000    0.005    0.000 typing.py:340(__getitem__)
     2544    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       31    0.001    0.000    0.001    0.000 function_base.py:23(linspace)
      290    0.001    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
     1409    0.001    0.000    0.003    0.000 re.py:172(match)
      196    0.001    0.000    0.001    0.000 enum.py:841(__and__)
     1422    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      943    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      663    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     2534    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       15    0.001    0.000    0.001    0.000 weakref.py:408(__setitem__)
      410    0.001    0.000    0.001    0.000 copy.py:269(_reconstruct)
     1821    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      782    0.001    0.000    0.001    0.000 functools.py:67(wraps)
     1025    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
       26    0.001    0.000    0.018    0.001 traceback.py:318(extract)
      872    0.001    0.000    0.002    0.000 colors.py:132(_is_nth_color)
      428    0.000    0.000    0.005    0.000 rcsetup.py:377(validate_color)
      429    0.000    0.000    0.001    0.000 artist.py:1429(aliased_name)
